t, u_learned, v_learned
6.781563126252504681e+00, 1.052311282197718745e+00, 1.188006108264602512e+00
6.829659318637274268e+00, 1.050366530181093605e+00, 1.188340114440595618e+00
6.877755511022043855e+00, 1.048445814277192634e+00, 1.188668266312301602e+00
6.925851703406813442e+00, 1.046548815270968769e+00, 1.188990663296522143e+00
6.973947895791583029e+00, 1.044675219067092486e+00, 1.189307403238806682e+00
7.022044088176352616e+00, 1.042824716603442115e+00, 1.189618582435536975e+00
7.070140280561122204e+00, 1.040997003645505181e+00, 1.189924295648581376e+00
7.118236472945891791e+00, 1.039191780026705869e+00, 1.190224636086491206e+00
7.166332665330661378e+00, 1.037408750590516293e+00, 1.190519695487191720e+00
7.214428857715430965e+00, 1.035647624852981785e+00, 1.190809564123817887e+00
7.262525050100200552e+00, 1.033908116824358903e+00, 1.191094330819756575e+00
7.310621242484970139e+00, 1.032189944931775072e+00, 1.191374082969424819e+00
7.358717434869739726e+00, 1.030492831946148158e+00, 1.191648906558991472e+00
7.406813627254509314e+00, 1.028816504913361074e+00, 1.191918886187044446e+00
7.454909819639278901e+00, 1.027160694709677857e+00, 1.192184105063473165e+00
7.503006012024047600e+00, 1.025525135998004211e+00, 1.192444645030974248e+00
7.551102204408817187e+00, 1.023909567719263114e+00, 1.192700586616855629e+00
7.599198396793586774e+00, 1.022313732716690904e+00, 1.192952009034964123e+00
7.647294589178356361e+00, 1.020737377668963664e+00, 1.193198990204970666e+00
7.695390781563125948e+00, 1.019180253027075933e+00, 1.193441606771575403e+00
7.743486973947895535e+00, 1.017642112954409539e+00, 1.193679934123593522e+00
7.791583166332665122e+00, 1.016122715224414330e+00, 1.193914046410590180e+00
7.839679358717434710e+00, 1.014621820752387160e+00, 1.194144016540470421e+00
7.887775551102204297e+00, 1.013139194078901850e+00, 1.194369916225592743e+00
7.935871743486973884e+00, 1.011674603232828540e+00, 1.194591815996786766e+00
7.983967935871743471e+00, 1.010227819595929999e+00, 1.194809785217171294e+00
8.032064128256513058e+00, 1.008798617848129853e+00, 1.195023892099832397e+00
8.080160320641281757e+00, 1.007386775915197985e+00, 1.195234203725344058e+00
8.128256513026052232e+00, 1.005992074918849344e+00, 1.195440786059132066e+00
8.176352705410820931e+00, 1.004614298981847620e+00, 1.195643703962665061e+00
8.224448897795591407e+00, 1.003253235101059904e+00, 1.195843021207162904e+00
8.272545090180360106e+00, 1.001908673439964703e+00, 1.196038800504183985e+00
8.320641282565130581e+00, 1.000580407117755977e+00, 1.196231103515397187e+00
8.368737474949899280e+00, 9.992682321591687122e-01, 1.196419990868665240e+00
8.416833667334669755e+00, 9.979719474493949916e-01, 1.196605522174079894e+00
8.464929859719438454e+00, 9.966913546908923172e-01, 1.196787756039820128e+00
8.513026052104208929e+00, 9.954262583480203430e-01, 1.196966750087453901e+00
8.561122244488977628e+00, 9.941764653808445873e-01, 1.197142560961291347e+00
8.609218436873748104e+00, 9.929417854587992975e-01, 1.197315244350524388e+00
8.657314629258516803e+00, 9.917220309208866214e-01, 1.197484855004263382e+00
8.705410821643287278e+00, 9.905170166779818652e-01, 1.197651446744777193e+00
8.753507014028055977e+00, 9.893265601734579917e-01, 1.197815072482083520e+00
8.801603206412824676e+00, 9.881504813452799407e-01, 1.197975784228353158e+00
8.849699398797595151e+00, 9.869886025895702186e-01, 1.198133633112125063e+00
8.897795591182363850e+00, 9.858407486267606323e-01, 1.198288669391727401e+00
8.945891783567134325e+00, 9.847067463595809977e-01, 1.198440942468453452e+00
8.993987975951903024e+00, 9.835864251832093785e-01, 1.198590500902301015e+00
9.042084168336673500e+00, 9.824796167962586146e-01, 1.198737392424465309e+00
9.090180360721442199e+00, 9.813861551599999400e-01, 1.198881663950539522e+00
9.138276553106212674e+00, 9.803058764672568648e-01, 1.199023361593577475e+00
9.186372745490981373e+00, 9.792386191126196682e-01, 1.199162530676966210e+00
9.234468937875751848e+00, 9.781842236639816113e-01, 1.199299215747110292e+00
9.282565130260520547e+00, 9.771425328353956496e-01, 1.199433460585924704e+00
9.330661322645291023e+00, 9.761133914612529772e-01, 1.199565308223141002e+00
9.378757515030059722e+00, 9.750966462761740949e-01, 1.199694800949639095e+00
9.426853707414830197e+00, 9.740921455530922035e-01, 1.199821980331483795e+00
9.474949899799598896e+00, 9.730997399327985242e-01, 1.199946887216357894e+00
9.523046092184369371e+00, 9.721192820422596137e-01, 1.200069561747359792e+00
9.571142284569138070e+00, 9.711506264362586016e-01, 1.200190043374603999e+00
9.619238476953908545e+00, 9.701936295712499936e-01, 1.200308370866440155e+00
9.667334669338677244e+00, 9.692481497801841428e-01, 1.200424582320485989e+00
9.715430861723445943e+00, 9.683140472482978378e-01, 1.200538715174471749e+00
9.763527054108216419e+00, 9.673911839898728937e-01, 1.200650806216898570e+00
9.811623246492985118e+00, 9.664794238259625248e-01, 1.200760891597508762e+00
9.859719438877755593e+00, 9.655786322603370220e-01, 1.200869006842290254e+00
9.907815631262524292e+00, 9.646886761990662862e-01, 1.200975186875522960e+00
9.955911823647294767e+00, 9.638094244898282037e-01, 1.201079466004017160e+00
1.000400801603206347e+01, 9.629407476887337225e-01, 1.201181877936703835e+00
1.005210420841683394e+01, 9.620825180089856987e-01, 1.201282455795726012e+00
1.010020040080160264e+01, 9.612346092991571611e-01, 1.201381232126028431e+00
1.014829659318637312e+01, 9.603968970222107604e-01, 1.201478238904768903e+00
1.019639278557114181e+01, 9.595692582352607358e-01, 1.201573507550552922e+00
1.024448897795591229e+01, 9.587515715700750674e-01, 1.201667068932492199e+00
1.029258517034068099e+01, 9.579437172143212553e-01, 1.201758953379084893e+00
1.034068136272545146e+01, 9.571455768286853960e-01, 1.201849190692201752e+00
1.038877755511022016e+01, 9.563570332983738487e-01, 1.201937810174434684e+00
1.043687374749499064e+01, 9.555779711566371182e-01, 1.202024840601626954e+00
1.048496993987975934e+01, 9.548082764186514027e-01, 1.202110310243282632e+00
1.053306613226452981e+01, 9.540478365317667242e-01, 1.202194246873390382e+00
1.058116232464929851e+01, 9.532965403571028729e-01, 1.202276677778575609e+00
1.062925851703406721e+01, 9.525542781517107871e-01, 1.202357629766092728e+00
1.067735470941883769e+01, 9.518209415512988159e-01, 1.202437129171653796e+00
1.072545090180360638e+01, 9.510964235535240840e-01, 1.202515201867094152e+00
1.077354709418837686e+01, 9.503806185018486286e-01, 1.202591873267877087e+00
1.082164328657314556e+01, 9.496734220323399533e-01, 1.202667168345183279e+00
1.086973947895791603e+01, 9.489747308727332076e-01, 1.202741111656560280e+00
1.091783567134268473e+01, 9.482844431477110980e-01, 1.202813727312577630e+00
1.096593186372745521e+01, 9.476024582712181399e-01, 1.202885038995523237e+00
1.101402805611222391e+01, 9.469286769007156934e-01, 1.202955069970186530e+00
1.106212424849699438e+01, 9.462630009214196836e-01, 1.203023843090768485e+00
1.111022044088176308e+01, 9.456053334309736380e-01, 1.203091380807643329e+00
1.115831663326653356e+01, 9.449555787245570437e-01, 1.203157705173975911e+00
1.120641282565130226e+01, 9.443136422804285779e-01, 1.203222837852191640e+00
1.125450901803607273e+01, 9.436794307459037690e-01, 1.203286800120301425e+00
1.130260521042084143e+01, 9.430528519046003089e-01, 1.203349612881844388e+00
1.135070140280561191e+01, 9.424338145319786086e-01, 1.203411296697703303e+00
1.139879759519038060e+01, 9.418222285887568601e-01, 1.203471871751514932e+00
1.144689378757514930e+01, 9.412180051598280084e-01, 1.203531357864992879e+00
1.149498997995991978e+01, 9.406210564156649578e-01, 1.203589774508773580e+00
1.154308617234468848e+01, 9.400312955989102992e-01, 1.203647140808257854e+00
1.159118236472945895e+01, 9.394486370113140916e-01, 1.203703475549321888e+00
1.163927855711422765e+01, 9.388729960010202547e-01, 1.203758797183899221e+00
1.168737474949899813e+01, 9.383042889502011263e-01, 1.203813123835435261e+00
1.173547094188376683e+01, 9.377424332630410753e-01, 1.203866473304211704e+00
1.178356713426853730e+01, 9.371873473423736334e-01, 1.203918863075181367e+00
1.183166332665330600e+01, 9.366389504657640641e-01, 1.203970310348467576e+00
1.187975951903807648e+01, 9.360971629364572832e-01, 1.204020832007729025e+00
1.192785571142284518e+01, 9.355619060456282776e-01, 1.204070444631095915e+00
1.197595190380761565e+01, 9.350331020352121714e-01, 1.204119164501922912e+00
1.202404809619238435e+01, 9.345106740863241557e-01, 1.204167007613712093e+00
1.207214428857715482e+01, 9.339945463079574184e-01, 1.204213989674924878e+00
1.212024048096192352e+01, 9.334846437259565199e-01, 1.204260126113678497e+00
1.216833667334669400e+01, 9.329808922722683251e-01, 1.204305432082331206e+00
1.221643286573146270e+01, 9.324832187744686030e-01, 1.204349922461954936e+00
1.226452905811623317e+01, 9.319915509363390083e-01, 1.204393611869351233e+00
